"table_name","column_name","data_type"
"agent_parameters","created_at","timestamp without time zone"
"boundaries","created_at","timestamp without time zone"
"human_feedback","id","integer"
"human_feedback","tenant_id","uuid"
"human_feedback","created_at","timestamp without time zone"
"output_reviews","id","integer"
"output_reviews","tenant_id","uuid"
"output_reviews","created_at","timestamp without time zone"
"alerts","id","integer"
"alerts","tenant_id","uuid"
"alerts","created_at","timestamp without time zone"
"documentation","id","integer"
"documentation","tenant_id","uuid"
"documentation","created_at","timestamp without time zone"
"agent_data","agent_id","integer"
"agent_data","tenant_id","uuid"
"agent_data","created_at","timestamp without time zone"
"chat_history","id","integer"
"chat_history","tenant_id","uuid"
"chat_history","created_at","timestamp without time zone"
"error_log","id","integer"
"error_log","tenant_id","uuid"
"error_log","time","timestamp without time zone"
"error_log","agent_id","integer"
"error_log","created_at","timestamp without time zone"
"agent_details","id","integer"
"agent_details","tenant_id","uuid"
"agent_details","performance","double precision"
"agent_details","created_at","timestamp without time zone"
"agent_metrics","id","integer"
"agent_metrics","tenant_id","uuid"
"agent_metrics","date","date"
"agent_metrics","total_agents","integer"
"agent_metrics","active_agents","integer"
"agent_metrics","tasks_completed","integer"
"agent_metrics","avg_rating","double precision"
"agent_metrics","created_at","timestamp without time zone"
"agent_teams","id","integer"
"agent_teams","tenant_id","uuid"
"agent_teams","agents","integer"
"agent_teams","tasks","integer"
"agent_teams","avg_rating","double precision"
"agent_teams","created_at","timestamp without time zone"
"custom_reports","id","integer"
"custom_reports","tenant_id","uuid"
"custom_reports","start_date","date"
"custom_reports","end_date","date"
"custom_reports","created_at","timestamp without time zone"
"forecast_data","id","integer"
"forecast_data","tenant_id","uuid"
"forecast_data","date","date"
"forecast_data","value","integer"
"forecast_data","created_at","timestamp without time zone"
"agent_interactions","id","integer"
"agent_interactions","tenant_id","uuid"
"agent_interactions","created_at","timestamp without time zone"
"users","tenant_id","uuid"
"users","created_at","timestamp without time zone"
"agents","id","integer"
"agents","user_id","uuid"
"agents","tenant_id","uuid"
"agents","learning_rate","double precision"
"agents","exploration_rate","double precision"
"agents","training_iterations","integer"
"agents","batch_size","integer"
"agents","max_tokens","integer"
"agents","temperature","double precision"
"agents","top_p","double precision"
"agents","frequency_penalty","double precision"
"agents","presence_penalty","double precision"
"agents","created_at","timestamp without time zone"
"agent_parameters","id","integer"
"agent_parameters","tenant_id","uuid"
"agent_parameters","default_learning_rate","double precision"
"agent_parameters","default_exploration_rate","double precision"
"agent_parameters","max_tokens","integer"
"users","id","uuid"
"resource_management","id","integer"
"resource_management","tenant_id","uuid"
"resource_management","max_compute_usage","integer"
"resource_management","max_storage_usage","integer"
"resource_management","cost_per_compute_hour","double precision"
"resource_management","cost_per_gb_storage","double precision"
"resource_management","created_at","timestamp without time zone"
"access_permissions","id","integer"
"access_permissions","tenant_id","uuid"
"access_permissions","enable_api_access","boolean"
"access_permissions","api_rate_limit","integer"
"access_permissions","enable_logging","boolean"
"access_permissions","created_at","timestamp without time zone"
"boundaries","id","integer"
"boundaries","tenant_id","uuid"
"users","email","character varying"
"users","password_hash","text"
"users","role","character varying"
"agent_interactions","agent1","character varying"
"chat_history","user_message","text"
"chat_history","bot_response","text"
"human_feedback","agent","character varying"
"human_feedback","task","text"
"agents","name","character varying"
"agents","type","character varying"
"agents","status","character varying"
"agents","description","text"
"agents","avatar_url","text"
"agents","llm_base","character varying"
"agents","prompt","text"
"agents","knowledge_base_url","text"
"human_feedback","feedback_type","character varying"
"human_feedback","feedback_details","text"
"agent_teams","team","character varying"
"agent_interactions","agent2","character varying"
"agent_interactions","interaction_type","character varying"
"output_reviews","output_type","character varying"
"output_reviews","output_name","text"
"output_reviews","agent","character varying"
"output_reviews","review_status","character varying"
"agents","stop_sequences","text"
"agent_interactions","description","text"
"agent_interactions","status","character varying"
"error_log","error_type","character varying"
"alerts","alert_type","character varying"
"alerts","description","text"
"agent_parameters","agent_types","ARRAY"
"agent_parameters","agent_specializations","ARRAY"
"agent_parameters","reward_structure","character varying"
"alerts","urgency","character varying"
"alerts","status","character varying"
"error_log","message","text"
"forecast_data","metric","character varying"
"forecast_data","period","character varying"
"documentation","doc_type","character varying"
"documentation","title","character varying"
"documentation","content","text"
"custom_reports","report_type","character varying"
"agent_details","name","character varying"
"agent_details","type","character varying"
"access_permissions","user_roles","ARRAY"
"agent_data","agent_name","character varying"
"agent_data","status","character varying"
"agent_data","current_task","character varying"
"agent_data","performance_metrics","character varying"
"agent_details","status","character varying"
"custom_reports","report_period","character varying"
"boundaries","boundary_type","character varying"
"boundaries","description","text"
"boundaries","status","character varying"